"block_number","trial_number","trial_type","event_type","experiment_start_timestamp","block_start_timestamp","trial_start_timestamp","event_start_timestamp","video_display_request_timestamp","response_touch_timestamp","trial_offset","event_offset","response_time","response","response_accuracy"
"0","14","6","Fixation","1647915482083","1647915486962","1647915506545","1647915506545","1647915506545",".","19583","0",".",".","."
"0","14","6","Stimulus","1647915482083","1647915486962","1647915506545","1647915507047","1647915507047",".","19583","502",".",".","."
"0","14","6","Response",".",".",".",".",".","1647915507595","19583",".","548","R","1"
"0","14","6","Feedback","1647915482083","1647915486962","1647915506545","1647915507596","1647915507596",".","19583","1051",".",".","."
"0","15","4","Fixation","1647915482083","1647915486962","1647915508098","1647915508098","1647915508098",".","21136","0",".",".","."
"0","15","4","Stimulus","1647915482083","1647915486962","1647915508098","1647915508601","1647915508601",".","21136","503",".",".","."
"0","15","4","Response",".",".",".",".",".","1647915509132","21136",".","531","R","1"
"0","15","4","Feedback","1647915482083","1647915486962","1647915508098","1647915509133","1647915509133",".","21136","1035",".",".","."
"0","16","2","Fixation","1647915482083","1647915486962","1647915509636","1647915509636","1647915509636",".","22674","0",".",".","."
"0","16","2","Stimulus","1647915482083","1647915486962","1647915509636","1647915510138","1647915510138",".","22674","502",".",".","."
"0","16","2","Response",".",".",".",".",".","1647915510702","22674",".","564","R","1"
"0","16","2","Feedback","1647915482083","1647915486962","1647915509636","1647915510704","1647915510704",".","22674","1068",".",".","."
"0","17","3","Fixation","1647915482083","1647915486962","1647915511206","1647915511206","1647915511206",".","24244","0",".",".","."
"0","17","3","Stimulus","1647915482083","1647915486962","1647915511206","1647915511709","1647915511709",".","24244","503",".",".","."
"0","17","3","Response",".",".",".",".",".","1647915512298","24244",".","589","L","1"
"0","17","3","Feedback","1647915482083","1647915486962","1647915511206","1647915512300","1647915512300",".","24244","1094",".",".","."
"0","18","5","Fixation","1647915482083","1647915486962","1647915512804","1647915512804","1647915512804",".","25842","0",".",".","."
"0","18","5","Stimulus","1647915482083","1647915486962","1647915512804","1647915513307","1647915513308",".","25842","503",".",".","."
"0","18","5","Response",".",".",".",".",".","1647915513970","25842",".","662","L","1"
"0","18","5","Feedback","1647915482083","1647915486962","1647915512804","1647915513970","1647915513970",".","25842","1166",".",".","."
"0","19","2","Fixation","1647915482083","1647915486962","1647915514473","1647915514473","1647915514473",".","27511","0",".",".","."
"0","19","2","Stimulus","1647915482083","1647915486962","1647915514473","1647915514976","1647915514976",".","27511","503",".",".","."
"0","19","2","Response",".",".",".",".",".","1647915515455","27511",".","479","R","1"
"0","19","2","Feedback","1647915482083","1647915486962","1647915514473","1647915515457","1647915515457",".","27511","984",".",".","."
"0","20","4","Fixation","1647915482083","1647915486962","1647915515959","1647915515959","1647915515959",".","28997","0",".",".","."
"0","20","4","Stimulus","1647915482083","1647915486962","1647915515959","1647915516461","1647915516461",".","28997","502",".",".","."
