"block_number","trial_number","trial_type","event_type","experiment_start_timestamp","block_start_timestamp","trial_start_timestamp","event_start_timestamp","video_display_request_timestamp","response_touch_timestamp","trial_offset","event_offset","response_time","response","response_accuracy"
"0","14","3","Fixation","1647916111846","1647916116912","1647916139713","1647916139713","1647916139713",".","22801","0",".",".","."
"0","14","3","Stimulus","1647916111846","1647916116912","1647916139713","1647916140216","1647916140216",".","22801","503",".",".","."
"0","14","3","Response",".",".",".",".",".","1647916140726","22801",".","510","L","1"
"0","14","3","Feedback","1647916111846","1647916116912","1647916139713","1647916140727","1647916140727",".","22801","1014",".",".","."
"0","15","6","Fixation","1647916111846","1647916116912","1647916141230","1647916141230","1647916141230",".","24318","0",".",".","."
"0","15","6","Stimulus","1647916111846","1647916116912","1647916141230","1647916141733","1647916141734",".","24318","503",".",".","."
"0","15","6","Response",".",".",".",".",".","1647916142145","24318",".","411","R","1"
"0","15","6","Feedback","1647916111846","1647916116912","1647916141230","1647916142145","1647916142145",".","24318","915",".",".","."
"0","16","5","Fixation","1647916111846","1647916116912","1647916142648","1647916142648","1647916142648",".","25736","0",".",".","."
"0","16","5","Stimulus","1647916111846","1647916116912","1647916142648","1647916143151","1647916143151",".","25736","503",".",".","."
"0","16","5","Response",".",".",".",".",".","1647916143738","25736",".","587","L","1"
"0","16","5","Feedback","1647916111846","1647916116912","1647916142648","1647916143738","1647916143738",".","25736","1090",".",".","."
"0","17","1","Fixation","1647916111846","1647916116912","1647916144241","1647916144241","1647916144241",".","27329","0",".",".","."
"0","17","1","Stimulus","1647916111846","1647916116912","1647916144241","1647916144744","1647916144744",".","27329","503",".",".","."
"0","17","1","Response",".",".",".",".",".","1647916145313","27329",".","569","L","1"
"0","17","1","Feedback","1647916111846","1647916116912","1647916144241","1647916145314","1647916145314",".","27329","1073",".",".","."
"0","18","4","Fixation","1647916111846","1647916116912","1647916145817","1647916145817","1647916145817",".","28905","0",".",".","."
"0","18","4","Stimulus","1647916111846","1647916116912","1647916145817","1647916146320","1647916146320",".","28905","503",".",".","."
"0","18","4","Response",".",".",".",".",".","1647916147122","28905",".","801.9999999999964","R","1"
"0","18","4","Feedback","1647916111846","1647916116912","1647916145817","1647916147126","1647916147126",".","28905","1309",".",".","."
"0","19","6","Fixation","1647916111846","1647916116912","1647916147629","1647916147629","1647916147629",".","30717","0",".",".","."
"0","19","6","Stimulus","1647916111846","1647916116912","1647916147629","1647916148132","1647916148132",".","30717","503",".",".","."
"0","19","6","Response",".",".",".",".",".","1647916148765","30717",".","633","R","1"
"0","19","6","Feedback","1647916111846","1647916116912","1647916147629","1647916148767","1647916148767",".","30717","1138",".",".","."
"0","20","5","Fixation","1647916111846","1647916116912","1647916149270","1647916149270","1647916149270",".","32358","0",".",".","."
"0","20","5","Stimulus","1647916111846","1647916116912","1647916149270","1647916149772","1647916149773",".","32358","502",".",".","."
"0","20","5","Response",".",".",".",".",".","1647916150384","32358",".","611","L","1"
"0","20","5","Feedback","1647916111846","1647916116912","1647916149270","1647916150384","1647916150384",".","32358","1114",".",".","."
"0","21","1","Fixation","1647916111846","1647916116912","1647916150887","1647916150887","1647916150887",".","33975","0",".",".","."
"0","21","1","Stimulus","1647916111846","1647916116912","1647916150887","1647916151390","1647916151391",".","33975","503",".",".","."
"0","21","1","Response",".",".",".",".",".","1647916152084","33975",".","693","L","1"
"0","21","1","Feedback","1647916111846","1647916116912","1647916150887","1647916152085","1647916152085",".","33975","1198",".",".","."
"0","22","3","Fixation","1647916111846","1647916116912","1647916152588","1647916152588","1647916152588",".","35676","0",".",".","."
"0","22","3","Stimulus","1647916111846","1647916116912","1647916152588","1647916153090","1647916153090",".","35676","502",".",".","."
"0","22","3","Response",".",".",".",".",".","1647916153593","35676",".","503","L","1"
"0","22","3","Feedback","1647916111846","1647916116912","1647916152588","1647916153595","1647916153595",".","35676","1007",".",".","."
"0","23","2","Fixation","1647916111846","1647916116912","1647916154097","1647916154097","1647916154097",".","37185","0",".",".","."
"0","23","2","Stimulus","1647916111846","1647916116912","1647916154097","1647916154599","1647916154599",".","37185","502",".",".","."
"0","23","2","Response",".",".",".",".",".","1647916155178","37185",".","579","R","1"
"0","23","2","Feedback","1647916111846","1647916116912","1647916154097","1647916155179","1647916155179",".","37185","1082",".",".","."
"0","24","4","Fixation","1647916111846","1647916116912","1647916155682","1647916155682","1647916155682",".","38770","0",".",".","."
"0","24","4","Stimulus","1647916111846","1647916116912","1647916155682","1647916156185","1647916156186",".","38770","503",".",".","."
"0","24","4","Response",".",".",".",".",".","1647916156663","38770",".","476.9999999999927","R","1"
"0","24","4","Feedback","1647916111846","1647916116912","1647916155682","1647916156663","1647916156663",".","38770","981",".",".","."
"0","25","2","Fixation","1647916111846","1647916116912","1647916157166","1647916157166","1647916157166",".","40254","0",".",".","."
"0","25","2","Stimulus","1647916111846","1647916116912","1647916157166","1647916157669","1647916157669",".","40254","503",".",".","."
"0","25","2","Response",".",".",".",".",".","1647916158139","40254",".","470","R","1"
"0","25","2","Feedback","1647916111846","1647916116912","1647916157166","1647916158140","1647916158140",".","40254","974",".",".","."
"0","26","4","Fixation","1647916111846","1647916116912","1647916158642","1647916158642","1647916158642",".","41730","0",".",".","."
"0","26","4","Stimulus","1647916111846","1647916116912","1647916158642","1647916159145","1647916159145",".","41730","503",".",".","."
"0","26","4","Response",".",".",".",".",".","1647916159498","41730",".","353","R","1"
